Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
6667_30.fasta	59	793	46787	19320	41.294	388	0.489	272	0.343	0.605	0.395	8380	4705	6176	8206	0	0	0	0	0	0	0	0	0	0	0	0	0	19320	0
5664_30.fasta	64	927	59328	21732	36.63	495	0.534	342	0.369	0.574	0.426	10671	5421	10672	10832	0	0	0	0	0	0	0	0	0	0	0	0	0	21732	0
6387_30.fasta	43	801	34443	9588	27.837	343	0.428	262	0.327	0.557	0.443	5796	4872	6164	8023	0	0	0	0	0	0	0	0	0	0	0	0	0	9588	0
5104_30.fasta	45	231	10395	2517	24.214	92	0.398	47	0.203	0.581	0.419	2351	1759	1550	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	2517	0
5206_30.fasta	41	462	18942	7932	41.875	198	0.429	152	0.329	0.558	0.442	3578	1978	2914	2540	0	0	0	0	0	0	0	0	0	0	0	0	0	7932	0
5531_30.fasta	36	273	9828	1881	19.139	126	0.462	93	0.341	0.6	0.4	2363	1501	1679	2404	0	0	0	0	0	0	0	0	0	0	0	0	0	1881	0
5038_30.fasta	43	270	11610	3806	32.782	134	0.496	95	0.352	0.571	0.429	2198	1439	1873	2294	0	0	0	0	0	0	0	0	0	0	0	0	0	3806	0
6401_30.fasta	30	540	16200	3342	20.63	251	0.465	154	0.285	0.579	0.421	3689	2331	3078	3760	0	0	0	0	0	0	0	0	0	0	0	0	0	3342	0
5335_30.fasta	35	490	17150	8996	52.455	250	0.51	191	0.39	0.582	0.418	2419	1431	1946	2358	0	0	0	0	0	0	0	0	0	0	0	0	0	8996	0
6962_30.fasta	54	327	17658	4617	26.147	169	0.517	121	0.37	0.591	0.409	3826	2036	3305	3874	0	0	0	0	0	0	0	0	0	0	0	0	0	4617	0
5926_30.fasta	38	396	15048	3297	21.91	137	0.346	95	0.24	0.56	0.44	3321	2295	2873	3262	0	0	0	0	0	0	0	0	0	0	0	0	0	3297	0
6449_30.fasta	8	186	1488	129	8.669	14	0.075	2	0.011	0.608	0.392	468	237	295	359	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0
5815_30.fasta	24	135	3240	57	1.759	72	0.533	43	0.319	0.464	0.536	887	856	848	592	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0
6398_30.fasta	26	237	6162	1998	32.425	178	0.751	137	0.578	0.585	0.415	1257	686	1027	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	1998	0
5842_30.fasta	41	476	19516	7083	36.293	290	0.609	212	0.445	0.574	0.426	3444	2288	2978	3723	0	0	0	0	0	0	0	0	0	0	0	0	0	7083	0
6713_30.fasta	8	276	2208	909	41.168	62	0.225	16	0.058	0.606	0.394	321	203	307	468	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0
7577_30.fasta	21	282	5922	2292	38.703	71	0.252	43	0.152	0.562	0.438	957	809	772	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	2292	0
5090_30.fasta	5	303	1515	381	25.149	81	0.267	15	0.05	0.527	0.473	235	240	293	366	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0
5596_30.fasta	55	1096	60280	13910	23.076	628	0.573	443	0.404	0.574	0.426	11196	9204	10615	15355	0	0	0	0	0	0	0	0	0	0	0	0	0	13910	0
6378_30.fasta	20	380	7600	2670	35.132	263	0.692	206	0.542	0.549	0.451	1397	940	1285	1308	0	0	0	0	0	0	0	0	0	0	0	0	0	2670	0
5599_30.fasta	52	464	24128	7878	32.651	355	0.765	187	0.403	0.578	0.422	4647	3226	3625	4752	0	0	0	0	0	0	0	0	0	0	0	0	0	7878	0
6320_30.fasta	56	859	48104	17135	35.621	643	0.749	482	0.561	0.56	0.44	8799	5009	8651	8510	0	0	0	0	0	0	0	0	0	0	0	0	0	17135	0
5977_30.fasta	25	270	6750	2333	34.563	133	0.493	75	0.278	0.619	0.381	1325	890	976	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	2333	0
7324_30.fasta	53	693	36729	10629	28.939	335	0.483	222	0.32	0.587	0.413	7971	4643	6111	7375	0	0	0	0	0	0	0	0	0	0	0	0	0	10629	0
7029_30.fasta	39	405	15795	3999	25.318	280	0.691	151	0.373	0.588	0.412	3086	2029	2824	3857	0	0	0	0	0	0	0	0	0	0	0	0	0	3999	0
5716_30.fasta	45	1059	47655	26476	55.558	538	0.508	336	0.317	0.564	0.436	6344	4014	5186	5635	0	0	0	0	0	0	0	0	0	0	0	0	0	26476	0
6992_30.fasta	55	210	11550	3879	33.584	123	0.586	96	0.457	0.628	0.372	2769	1098	1742	2062	0	0	0	0	0	0	0	0	0	0	0	0	0	3879	0
6848_30.fasta	10	192	1920	258	13.438	73	0.38	43	0.224	0.575	0.425	444	287	418	513	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0
5528_30.fasta	50	769	38450	16844	43.808	437	0.568	280	0.364	0.589	0.411	6379	4099	4899	6229	0	0	0	0	0	0	0	0	0	0	0	0	0	16844	0
6933_30.fasta	47	519	24393	7561	30.997	250	0.482	143	0.276	0.571	0.429	4260	3793	3435	5344	0	0	0	0	0	0	0	0	0	0	0	0	0	7561	0
7363_30.fasta	53	390	20670	3743	18.108	159	0.408	106	0.272	0.548	0.452	4381	2728	4976	4842	0	0	0	0	0	0	0	0	0	0	0	0	0	3743	0
6450_30.fasta	54	618	33372	10218	30.618	326	0.528	189	0.306	0.561	0.439	6048	4766	5360	6980	0	0	0	0	0	0	0	0	0	0	0	0	0	10218	0
5968_30.fasta	8	156	1248	192	15.385	34	0.218	17	0.109	0.563	0.437	268	170	291	327	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0
6407_30.fasta	35	264	9240	3231	34.968	134	0.508	79	0.299	0.552	0.448	1865	1087	1639	1418	0	0	0	0	0	0	0	0	0	0	0	0	0	3231	0
5404_30.fasta	63	726	45738	19455	42.536	426	0.587	301	0.415	0.573	0.427	6992	5664	5509	8118	0	0	0	0	0	0	0	0	0	0	0	0	0	19455	0
5333_30.fasta	60	1473	88380	30091	34.047	824	0.559	552	0.375	0.568	0.432	16831	9817	15231	16410	0	0	0	0	0	0	0	0	0	0	0	0	0	30091	0
6636_30.fasta	18	402	7236	2931	40.506	176	0.438	109	0.271	0.571	0.429	990	764	1103	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	2931	0
5981_30.fasta	30	349	10470	3659	34.947	272	0.779	231	0.662	0.533	0.467	1757	1591	1576	1887	0	0	0	0	0	0	0	0	0	0	0	0	0	3659	0
5200_30.fasta	40	432	17280	7992	46.25	155	0.359	95	0.22	0.534	0.466	2715	1476	2829	2268	0	0	0	0	0	0	0	0	0	0	0	0	0	7992	0
6460_30.fasta	50	612	30600	5467	17.866	410	0.67	336	0.549	0.552	0.448	6542	4810	6498	7283	0	0	0	0	0	0	0	0	0	0	0	0	0	5467	0
5463_30.fasta	31	318	9858	2238	22.702	135	0.425	89	0.28	0.61	0.39	2855	938	2049	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	2238	0
5354_30.fasta	14	222	3108	1254	40.347	74	0.333	28	0.126	0.585	0.415	467	400	373	614	0	0	0	0	0	0	0	0	0	0	0	0	0	1254	0
6282_30.fasta	42	312	13104	2226	16.987	127	0.407	87	0.279	0.574	0.426	3123	1784	2835	3136	0	0	0	0	0	0	0	0	0	0	0	0	0	2226	0
7602_30.fasta	37	243	8991	444	4.938	118	0.486	73	0.3	0.536	0.464	1985	1900	2076	2586	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0
7135_30.fasta	46	578	26588	11933	44.881	375	0.649	246	0.426	0.564	0.436	3346	2899	3425	4985	0	0	0	0	0	0	0	0	0	0	0	0	0	11933	0
4889_30.fasta	40	282	11280	3720	32.979	118	0.418	58	0.206	0.631	0.369	2477	1218	1616	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	3720	0
5958_30.fasta	38	345	13110	366	2.792	136	0.394	104	0.301	0.559	0.441	3965	2339	3292	3148	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0
5434_30.fasta	44	558	24552	1440	5.865	232	0.416	168	0.301	0.527	0.473	5996	4908	6032	6176	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0
5910_30.fasta	48	720	34560	4761	13.776	377	0.524	270	0.375	0.54	0.46	8438	4876	8796	7689	0	0	0	0	0	0	0	0	0	0	0	0	0	4761	0
6913_30.fasta	55	599	32945	12641	38.37	326	0.544	254	0.424	0.552	0.448	6022	3745	5404	5133	0	0	0	0	0	0	0	0	0	0	0	0	0	12641	0
7194_30.fasta	17	321	5457	1386	25.399	118	0.368	48	0.15	0.537	0.463	1117	791	1082	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	1386	0
6274_30.fasta	27	264	7128	1403	19.683	177	0.67	156	0.591	0.549	0.451	1865	1056	1522	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	1403	0
6496_30.fasta	25	279	6975	1642	23.541	81	0.29	57	0.204	0.61	0.39	1771	821	1232	1509	0	0	0	0	0	0	0	0	0	0	0	0	0	1642	0
5642_30.fasta	7	117	819	216	26.374	14	0.12	6	0.051	0.574	0.426	165	122	131	185	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0
6641_30.fasta	56	560	31360	9894	31.55	309	0.552	233	0.416	0.564	0.436	6634	4131	5424	5277	0	0	0	0	0	0	0	0	0	0	0	0	0	9894	0
4793_30.fasta	43	570	24510	6737	27.487	330	0.579	230	0.404	0.583	0.417	4818	3559	3846	5550	0	0	0	0	0	0	0	0	0	0	0	0	0	6737	0
6176_30.fasta	58	660	38280	8041	21.006	305	0.462	207	0.314	0.576	0.424	9049	5467	7323	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	8041	0
6389_30.fasta	51	453	23103	7888	34.143	160	0.353	115	0.254	0.548	0.452	3765	2798	4194	4458	0	0	0	0	0	0	0	0	0	0	0	0	0	7888	0
6457_30.fasta	29	231	6699	855	12.763	127	0.55	82	0.355	0.594	0.406	2042	958	1406	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	855	0
5454_30.fasta	56	1080	60480	19368	32.024	597	0.553	420	0.389	0.579	0.421	12818	5762	11718	10814	0	0	0	0	0	0	0	0	0	0	0	0	0	19368	0
6458_30.fasta	33	310	10230	5274	51.554	210	0.677	179	0.577	0.579	0.421	1357	815	1255	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	5274	0
5960_30.fasta	31	450	13950	2481	17.785	225	0.5	164	0.364	0.573	0.427	3165	1863	3050	3391	0	0	0	0	0	0	0	0	0	0	0	0	0	2481	0
7333_30.fasta	46	408	18768	1821	9.703	222	0.544	157	0.385	0.461	0.539	4154	4756	4381	3656	0	0	0	0	0	0	0	0	0	0	0	0	0	1821	0
6533_30.fasta	49	588	28812	9679	33.594	390	0.663	303	0.515	0.573	0.427	5964	3483	4651	5035	0	0	0	0	0	0	0	0	0	0	0	0	0	9679	0
5853_30.fasta	51	612	31212	8299	26.589	315	0.515	194	0.317	0.602	0.398	8817	3437	5661	4998	0	0	0	0	0	0	0	0	0	0	0	0	0	8299	0
6631_30.fasta	10	201	2010	279	13.881	73	0.363	35	0.174	0.543	0.457	365	362	434	570	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0
5578_30.fasta	18	189	3402	225	6.614	78	0.413	53	0.28	0.544	0.456	990	493	956	738	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0
6679_30.fasta	43	348	14964	4481	29.945	233	0.67	173	0.497	0.581	0.419	2920	2215	2170	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	4481	0
6448_30.fasta	4	297	1188	351	29.545	72	0.242	2	0.007	0.583	0.417	190	162	185	300	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0
6072_30.fasta	46	180	8280	2280	27.536	87	0.483	56	0.311	0.543	0.457	1786	685	2010	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	2280	0
6447_30.fasta	34	315	10710	2688	25.098	155	0.492	114	0.362	0.544	0.456	2275	1656	2014	2077	0	0	0	0	0	0	0	0	0	0	0	0	0	2688	0
6924_30.fasta	61	512	31232	8418	26.953	287	0.561	216	0.422	0.545	0.455	6751	4246	6144	5673	0	0	0	0	0	0	0	0	0	0	0	0	0	8418	0
7021_30.fasta	54	329	17766	4335	24.401	160	0.486	109	0.331	0.548	0.452	3583	2567	3489	3792	0	0	0	0	0	0	0	0	0	0	0	0	0	4335	0
4848_30.fasta	61	891	54351	24323	44.752	440	0.494	307	0.345	0.526	0.474	7962	5203	8878	7985	0	0	0	0	0	0	0	0	0	0	0	0	0	24323	0
5843_30.fasta	20	192	3840	297	7.734	83	0.432	54	0.281	0.521	0.479	1024	648	1041	830	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0
4992_30.fasta	55	1370	75350	22215	29.482	777	0.567	535	0.391	0.601	0.399	16533	8995	12128	15479	0	0	0	0	0	0	0	0	0	0	0	0	0	22215	0
6119_30.fasta	63	2181	137403	37000	26.928	1284	0.589	913	0.419	0.572	0.428	28736	18833	24148	28686	0	0	0	0	0	0	0	0	0	0	0	0	0	37000	0
6995_30.fasta	10	96	960	6	0.625	15	0.156	7	0.073	0.607	0.393	278	208	167	301	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
5918_30.fasta	7	174	1218	280	22.989	49	0.282	18	0.103	0.508	0.492	330	174	283	151	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0
5299_30.fasta	44	290	12760	4116	32.257	165	0.569	127	0.438	0.604	0.396	2281	1581	1812	2970	0	0	0	0	0	0	0	0	0	0	0	0	0	4116	0
6198_30.fasta	40	195	7800	1125	14.423	60	0.308	40	0.205	0.566	0.434	1932	1093	1791	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	1125	0
5296_30.fasta	28	171	4788	1161	24.248	70	0.409	40	0.234	0.569	0.431	1096	391	1153	987	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0
6295_30.fasta	63	810	51030	9627	18.865	350	0.432	278	0.343	0.564	0.436	11808	8435	9717	11443	0	0	0	0	0	0	0	0	0	0	0	0	0	9627	0
6914_30.fasta	46	533	24518	10448	42.614	404	0.758	302	0.567	0.575	0.425	3949	2769	3348	4004	0	0	0	0	0	0	0	0	0	0	0	0	0	10448	0
5343_30.fasta	38	474	18012	1200	6.662	216	0.456	164	0.346	0.564	0.436	4711	2731	4587	4783	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0
6544_30.fasta	53	1233	65349	34225	52.373	766	0.621	536	0.435	0.582	0.418	9463	5714	7403	8544	0	0	0	0	0	0	0	0	0	0	0	0	0	34225	0
6649_30.fasta	32	216	6912	2804	40.567	60	0.278	40	0.185	0.572	0.428	1428	714	1054	912	0	0	0	0	0	0	0	0	0	0	0	0	0	2804	0
5721_30.fasta	51	350	17850	4223	23.658	175	0.5	124	0.354	0.536	0.464	3323	1764	4556	3984	0	0	0	0	0	0	0	0	0	0	0	0	0	4223	0
6318_30.fasta	44	837	36828	14516	39.416	604	0.722	382	0.456	0.575	0.425	6511	3724	5755	6322	0	0	0	0	0	0	0	0	0	0	0	0	0	14516	0
5940_30.fasta	51	417	21267	2949	13.867	192	0.46	136	0.326	0.604	0.396	3551	3016	4255	7496	0	0	0	0	0	0	0	0	0	0	0	0	0	2949	0
7313_30.fasta	46	654	30084	9441	31.382	370	0.566	251	0.384	0.524	0.476	5122	4268	5548	5705	0	0	0	0	0	0	0	0	0	0	0	0	0	9441	0
6420_30.fasta	46	521	23966	9350	39.014	225	0.432	147	0.282	0.547	0.453	3445	3041	3609	4521	0	0	0	0	0	0	0	0	0	0	0	0	0	9350	0
5464_30.fasta	19	164	3116	682	21.887	135	0.823	125	0.762	0.555	0.445	629	525	553	727	0	0	0	0	0	0	0	0	0	0	0	0	0	682	0
5260_30.fasta	8	93	744	3	0.403	25	0.269	15	0.161	0.568	0.432	261	156	164	160	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
5162_30.fasta	58	978	56724	11940	21.049	532	0.544	387	0.396	0.571	0.429	14089	7693	11525	11477	0	0	0	0	0	0	0	0	0	0	0	0	0	11940	0
6139_30.fasta	48	429	20592	2925	14.205	219	0.51	138	0.322	0.562	0.438	5059	3307	4456	4845	0	0	0	0	0	0	0	0	0	0	0	0	0	2925	0
6601_30.fasta	39	487	18993	6688	35.213	210	0.431	126	0.259	0.56	0.44	3006	2713	2697	3889	0	0	0	0	0	0	0	0	0	0	0	0	0	6688	0
4954_30.fasta	60	699	41940	6880	16.404	310	0.443	226	0.323	0.561	0.439	9973	4286	11135	9666	0	0	0	0	0	0	0	0	0	0	0	0	0	6880	0
